catalog_name,product_name,product_url,product_reviews,product_stars,price,pic_url
Entertainment Collectibles,K.J. Apa 8 inch x 10 inch PHOTOGRAPH Riverdale (TV Series 2017 - ) w/Cast Outside Diner Title Poster #1 kn,https://www.amazon.com/K-J-inch-PHOTOGRAPH-Riverdale-2017/dp/B076CC3LWL/ref=zg_bs_entertainment-collectibles_8?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,not found,not found,not found,"https://images-na.ssl-images-amazon.com/images/I/51iw68rzu%2BL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,"1976 Topps, Happy Days Sticker, 7 Don't Be a Fool, Stay Cool",https://www.amazon.com/1976-Topps-Happy-Days-Sticker/dp/B072FRVW11/ref=zg_bs_entertainment-collectibles_9?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,not found,not found,$1.99,"https://images-na.ssl-images-amazon.com/images/I/51d99iWFS9L._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,ROBERT ENGLUND Signed Freddy Krueger Hot Topic FUNKO POP Autograph RARE,https://www.amazon.com/ROBERT-ENGLUND-Signed-Krueger-Autograph/dp/B07B22WD2Z/ref=zg_bs_entertainment-collectibles_10?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,1,5.0 out of 5 stars,$199.00,"https://images-na.ssl-images-amazon.com/images/I/815FX6ne-cL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,Margot Robbie SUICIDE SQUAD In Person Autographed Photo,https://www.amazon.com/Margot-Robbie-SUICIDE-Person-Autographed/dp/B07CKWCQMV/ref=zg_bs_entertainment-collectibles_11?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,not found,not found,not found,"https://images-na.ssl-images-amazon.com/images/I/61OKmFh4qHL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,Disney Pin - Jack Skellington - Bone Daddy,https://www.amazon.com/Disney-Pin-Jack-Skellington-Daddy/dp/B079ZD3WY6/ref=zg_bs_entertainment-collectibles_12?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,not found,not found,not found,"https://images-na.ssl-images-amazon.com/images/I/81rtdy2nHOL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,1934 D Blue Seal Five Dollar Silver certificate US Note,https://www.amazon.com/1934-Blue-Dollar-Silver-certificate/dp/B07D7HLRHS/ref=zg_bs_entertainment-collectibles_13?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,not found,not found,not found,"https://images-na.ssl-images-amazon.com/images/I/914d3X6f7jL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,Disney Pin 127837 Fantasyland Football Mystery Pack - Ursula Pin The Little Mermaid,https://www.amazon.com/Disney-127837-Fantasyland-Football-Mystery/dp/B07CQ6L4J5/ref=zg_bs_entertainment-collectibles_14?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,not found,not found,not found,"https://images-na.ssl-images-amazon.com/images/I/71wfnSR5iZL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,Star Wars Pin Celebration Orlando 2017 - Chewbacca Blind Box Pin,https://www.amazon.com/Star-Wars-Celebration-Orlando-2017/dp/B075MTHYWJ/ref=zg_bs_entertainment-collectibles_15?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,not found,not found,not found,"https://images-na.ssl-images-amazon.com/images/I/61RKThFIE-L._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"CLIF KID ZBAR - Organic Energy Bar - Chocolate Brownie - (1.27 Ounce Snack Bar, 18 Count)",https://www.amazon.com/CLIF-KID-ZBAR-Organic-Chocolate/dp/B006GKKO4A/ref=zg_bs_grocery_1?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,315,4.5 out of 5 stars,$9.98,"https://images-na.ssl-images-amazon.com/images/I/71XkYHSV16L._AC_UL200_SR200,200_.jpg"
Grocery & Gourmet Food,"Pringles Snack Stacks Potato Crisps Chips, Flavored Variety Pack, Original, Cheddar Cheese, and Sour…",https://www.amazon.com/Pringles-Flavored-Variety-Original-Cheddar/dp/B0785P5MP5/ref=zg_bs_grocery_2?_encoding=UTF8&psc=1&refRID=T5VEGADNDQPMS05QVVQQ,118,3.9 out of 5 stars,$6.02,"https://images-na.ssl-images-amazon.com/images/I/818-4AyKJML._AC_UL200_SR200,200_.jpg"
